hip,ra_deg,dec_deg,plx_mas,pm_ra_mas_yr,pm_de_mas_yr,vmag,b_v,hd
145,0.45598912,-3.02747891,7.98,18.9,-10.25,5.13,-0.128,224926
154,0.48996506,-6.01397169,7.86,46.62,-41.32,4.37,1.631,224935
301,0.93488487,-17.33597002,14.31,28.57,-7.28,4.55,-0.047,225132
443,1.33394073,-5.70783255,25.38,-8.29,88.19,4.61,1.029,28
677,2.09653333,29.09082805,33.6,135.68,-162.95,2.07,-0.038,358
746,2.29204036,59.15021814,59.89,523.39,-180.42,2.28,0.38,432
910,2.81628415,-15.46732287,52.94,-84.2,-269.31,4.89,0.487,693
1067,3.30895828,15.18361593,9.79,4.7,-8.24,2.83,-0.19,886
1170,3.66013628,-18.93268628,6.62,-27.15,-73.78,4.44,1.64,1038
1366,4.27306518,38.68167915,12.88,-50.01,-17.9,4.61,0.059,1280
1473,4.58210555,36.7853273,23.11,-66.51,-42.48,4.51,0.054,1404
1562,4.85701265,-8.82382948,11.26,-14.37,-37.84,3.56,1.214,1522
1645,5.14943435,8.19024803,8.26,-4.5,9.59,5.38,1.343,1635
1686,5.28010785,37.96869954,20.42,58.32,-39.65,5.16,0.442,1671
2548,8.09897908,6.95545461,12.36,45.91,3.54,5.69,-0.014,2913
2599,8.24994391,62.93178781,0.79,3.99,-2.1,4.17,0.13,2905
2912,9.22016239,33.71935227,4.97,15.23,-3.56,4.34,-0.123,3369
2920,9.24277921,53.89693161,5.46,17.77,-9.15,3.69,-0.196,3360
3031,9.63958024,29.312369,19.34,-229.41,-254.08,4.34,0.871,3546
3092,9.83165567,30.86122579,32.19,115.38,-83.05,3.27,1.268,3627
3179,10.12661349,56.53740928,14.27,50.36,-32.17,2.24,1.17,3712
3419,10.89678452,-17.9866841,34.04,232.79,32.71,2.04,1.019,4128
3455,11.04752272,-10.60927365,15.54,-6.96,-113.88,4.77,0.998,4188
3693,11.83495908,24.26737703,17.98,-101.23,-81.89,4.08,1.1,4502
3786,12.17039736,7.58520186,10.69,83.14,-50.48,4.44,1.5,4656
3821,12.27125262,57.8165477,167.99,1087.11,-559.65,3.46,0.587,4614
3849,12.35647376,-13.56101709,10.02,103.34,-105.83,5.59,1.325,4730
3881,12.45345723,41.07895474,4.8,22.68,-18.05,4.53,-0.136,4727
3885,12.47128657,27.71031105,9.4,86.54,-10.2,5.55,0.398,4757
3909,12.53218487,-10.64377045,64.69,-224.67,-228.44,5.17,0.514,4813
4366,13.99384283,27.20935396,11.94,-19.87,11.09,6.08,0.133,5382
4371,14.00627513,-11.26650685,6.24,-26.79,-8.01,5.35,1.505,5437
4427,14.17708808,60.71674966,5.32,25.65,-3.82,2.15,-0.046,5394
