baily,hip,id_quality,ptolemy_mag,mag_qualifier
1,11767,1,3,
2,85822,1,4,
3,82080,1,4,
4,77055,2,4,
5,79822,1,4,
6,72607,1,2,
7,75097,2,2,
8,70692,1,4,
9,41704,1,4,
10,42080,2,5,
11,42527,1,5,
12,44390,1,5,
13,45038,2,5,
14,46977,1,5,
15,45075,1,4,
16,46733,1,4,
17,48319,1,4,
18,48402,2,4,f
19,46853,1,3,
20,44127,1,3,
21,44471,1,3,
22,45493,1,4,
23,44901,1,4,
24,54061,1,2,
25,53910,1,2,
26,59774,1,3,
27,58001,1,2,
28,50372,1,3,
29,50801,2,3,
30,54539,1,4,b
31,55219,1,3,
32,55203,1,3,
33,62956,1,2,
34,65378,1,2,
35,67301,1,2,
36,63125,1,3,
37,61317,1,5,
38,45860,1,4,
39,45688,1,4,
40,46952,1,7,
41,44248,3,7,
42,44700,1,7,
43,41075,1,7,
44,83608,1,4,
45,85819,1,4,b
46,85670,1,3,
47,87585,1,4,
48,87833,1,3,
49,90156,1,4,
50,91755,1,4,
51,90905,1,4,
52,92512,1,4,
53,95081,1,4,
54,94376,1,4,
55,97433,1,4,
56,98702,1,4,
57,96100,1,5,
58,92782,2,5,
59,94648,1,5,
60,86614,2,4,
61,89937,1,4,
62,89908,1,4,
63,85805,1,6,
64,86201,2,6,
65,81660,1,5,
66,82860,1,5,
67,83895,1,3,
68,80331,2,3,
69,78527,1,4,b
70,75458,1,3,
71,67627,1,4,
72,68756,1,3,
73,61281,2,3,
74,56211,1,3,
75,99255,1,4,
76,116727,1,4,
77,106032,1,4,
78,105199,1,3,
79,102422,1,4,
80,101093,1,4,
81,108917,1,5,
82,112724,1,4,b
83,109857,1,5,
84,109492,1,4,
85,109556,1,5,
86,107259,1,5,
87,110991,1,4,
88,69483,1,5,
89,69713,1,5,
90,70497,1,5,
91,69732,1,5,
92,71075,1,3,
93,73555,1,4,b
94,74666,1,4,b
95,75411,1,4,
96,76041,1,4,
97,75312,2,4,b
98,74596,1,5,
99,73996,2,5,
100,74087,2,5,
101,73745,1,5,
102,73568,1,5,
103,72105,2,3,
104,71284,2,4,
105,71053,1,4,b
106,71795,2,3,
107,67927,2,3,
108,67275,1,4,
109,67459,1,4,
110,69673,1,1,
111,76267,1,2,b
112,75695,1,4,b
113,76127,1,5,
114,77048,1,6,
115,76952,1,4,
