proper_name,designation,hip,hr,bayer_id,constellation,origin,language,adopted
Tianbang,HR 6588,86414,6588,Iota Her,Her,"Tiān Bàng (Celestial Flail, 天棓) is a defensive weapon, attested as constellation since 100 BCE. WGSN represents it by its determinative star.",Chinese,2026/06/20
Tianbian,HR 6973,91117,6973,α Sct,Sct,"Tiān Biàn (Market Officer, 天弁) is a traditional Chinese asterism close to the Celestial Market super-constellation. It literally means “Celestial Cap"" and describes a ceremonial headgear. The name is attested since around 100 BCE. WGSN represents it by its determinative star.",Chinese,2026/06/18
Telum,HR 7635,98337,7635,γ Sge,Sge,"Telum, the Dart, has been used as an alternative name for Sagitta in European literature of the past millennium (e.g. Dürer 1515, Uranometria 1603, Kepler 1627). WGSN applies the name to the brightest star of the asterism.",Latin,2026/06/18
Shakh,HR 7488,96837,7488,β Sge,Sge,"ŠAḪ, Pig, is a Sumerian constellation attested in MUL.APIN (dating between 1350 and 1150 BCE). The two stars Alpha and Beta Sagittae look like the nose of the Mesopotamian constellation The Pig. WGSN applies the name to Beta.",Sumerian,2026/06/18
Zuoqi,HR 7536,97365,7536,δ Sge,Sge,"Zuŏ Qí (Left Flag, 左旗) is a Chinese asterism consisting of nine stars and attested for more than 2000 years. It belongs to the super-constellation of flags and drums as signal transmitter.  WGSN represents it by its determinative star.",Chinese,2026/06/18
Guqi,HR 7377,95501,7377,δ Aql,Aql,"Gŭ Qí (Drum Flag, 鼓旗) is a Chinese asterism consisting of nine stars that originated no later than about 100 BCE. It forms a super-constellation with Hé Gŭ (River-Drum) and Zuŏ Qí (Left Flag), as drums and flags were used to transmit signals.",Chinese,2026/06/18
Arin-majlep,HR 7176,93244,7176,ε Aql,Aql,"Arin-majlep, the ""replica of the Big Eye"", with the Big Eye referring to Altair, is the name of a small asterism of three stars in a row: ε, ζ, and ω Aql. WGSN named ε Aql after it.",Marshallese,2026/06/18
Pagru,HR 7570,97804,7570,η Aql,Aql,"Akkadian Pagru, ""body"" or ""corpse,"" is commonly translated ""The Dead Man"", attested as a constellation in MUL.APIN which dates between 1350 and 1150 BCE, and has been used through the entire 1st millennium BCE.",Akkadian,2026/06/18
Hru,HR 7474,96665,7474,σ Aql,Aql,"Hru or Ru means Arrow. The term derives from Sanskrit, but is used as a constellation on the Island of Bali for at least 1300 years.",Sanskrit,2026/06/18
Pongaponga,HR 7051,91919,7051,ε1 Lyr A,Lyr,Pongaponga (“nostrils”) is a star name from the island of Pukapuka (South Pacific) for the visual double star ε1 (4) Lyr and ε2 (5) Lyr. WGSN applies the name to ε1 Lyr A.,Cook Is. Maori,2026/06/18
Niandao,HR 7157,92862,7157,13 Lyr,Lyr,"Niăn Dào (Imperial Passageway, 辇道) is a private way for the emporer for harmonious journeys. WGSN represents it by its determinative star.",Chinese,2026/06/18
Kautoki,HR 7056,91971,7056,ζ1 Lyr,Lyr,"The name means ""handle (kau) of the adze (toki)"" and describes an asterism from the Polynesian island of Kapingamarangi.",Kapingamarangi,2026/06/18
Urquchillay,HR 7057,91973,7057,ζ2 Lyr,Lyr,"Urquchillay, the Llama of Many Colors, is the name of the Inka god of livestock and wildlife; it was the protector of animal. Its constellation covers large areas of Lyra; WGSN adopts the name for a star close the the god's heart.",Quechua,2026/06/18
Jiantai,HR 7139,92791,7139,δ2 Lyr,Lyr,"Jiàn Tái (Clepsydra Terrace, 渐台) is a Chinese constellation of 4 stars, a symbol of astronomical timekeeping and musical pitch calibration.",Chinese,2026/06/18
Ninnisig,HR 7314,94713,7314,θ Lyr,Lyr,"Ninnisig and Erragal are two Sumerian gods associated with the pair of stars, Ninnisig is the goddess who is butcher of the highest temple (name honours a profession).",Sumerian,2026/06/18
Yaqana,HR 6115,80582,6115,ε Nor,Nor,"Yaqana is a mother llama and forms a super-constellation with Uñallamacha, the baby llama. They rise in the sky when baby llamas are born on Earth.",Quechua,2026/06/18
Moth,HD 61005,36948,,,Pup,"The star has a surrounding nebula and circumstellar disk, creating the appearance of a moth.",English,2026/06/13
Butterfly Star,IRAS 04302+2247,,,,Tau,"The YSO was nicknamed ""Butterfly"" in 1997 because of the shape of its infrared image in Lucas and Roche (1997), who announced it as ""a butterfly in Taurus"".",English,2026/06/13
Dust-Ball,V* V927 Per,,,,Per,"In infrared, the star V927 Per looks embedded into a dusty nebula with bow shocks; the unresolved fuzziness caused the nickname.",English,2026/06/13
Flying Saucer,2MASS J16281370-2431391,,,,Oph,The star 2MASS J16281370-2431391 is invisible and got the name in 2008 becaus of its edge-on disk of large grains (dust or debris).,English,2026/06/13
Necklace,IRAS 19417+1701,,,,Sge,"The star is the central star of a planetary nebula, nicknamed The Necklace Nebula (Sabin 2010). the binary shows eqautorial and polar outflow causing a knotted ring structure which led to the name.",English,2026/06/13
Peony Star,WR 102ka,,,,Sgr,The nebula of this WN star seems to look like a peony flower.,English,2026/06/13
Rosette Eye,RAFGL 961,,,,Mon,"To the discoverers, the nebula around this star looked like a cat eye in the Rosette Nebula, so they nicknamed it the ""rosette eye"".",English,2026/06/13
Southern Crab,WRAY 16-147,,,,Cen,"The ""southern crab"" is easily visible in the structure of this PN around this star and therefore nicknamed in the popular French magazin ""Ciel et Espace"" in 2008.",English,2026/06/13
Beehive Proplyd,HH 540,,,,Ori,Infrared photographs of the outlayers of the Great Orion Nebula M42 show a structure around this Herbig Haro Object that resembles a beehive.,English,2026/06/13
Frosty Leo,IRAS 09371+1212,,,,Leo,"Frosty Leo is the name of the post-AGB star IRAS 09371+1212 in constellation Leo. It is ""an icy evolved, mass-losing star with a unique IR spectrum"" (1987).",English,2026/06/13
Bibing,HR 1239,18724,1239,λ Tau,Tau,"Bibing (畢柄), The handle of the Net (Lunar Mansion) in the super-constellation of the White Tiger of the West, attested in ancient China for more than 2000 years.",Chinese,2026/05/17
Lembu,HR 1547,22565,1547,97 Tau,Tau,"""Lintang Lěmbu"" means Ox/Bull/Cow Constellation, representing an animal to pull carts & chariots. It is found in the calendar series Palelintangan used for at least 1300 years on the islands of Java and Bali, Indonesia.",Proto-Mon-Khmer,2026/05/17
Shakata,HR 1407,20877,1407,75 Tau,Tau,"Rohiṇīśakaṭa (रोहिणीशकट) is the Cart of Rohini, a deity represented in the star Aldebaran, and one of the nakshatras.  Her cart is traditionally seen in the Hyades star cluster; WGSN represents it by a star within their central area to honour the area's cultural importance.",Sanskrit,2026/05/17
Nüchuang,HR 6418,84380,6418,π Her,Her,"Nǚ Chuáng (Women’s Bed, 女床)  is a small asterism consisting of only three stars that dates back to around 100 BCE and belongs to the Shi school.",Chinese,2026/05/14
Tianji,HR 6212,81693,6212,ζ Her,Her,"Celestial Discipline, 天紀, is an ancient Chinese asterism of nine stars first recorded in the Western Han Shishi xingjing (Master Shi’s Star Canon, 石氏星經).",Chinese,2026/05/14
Asuusiha,HR 6092,79992,6092,τ Her,Her,"Asu Usiha (Manchu: ᠠᠰᡠ ᡠᠰᡳᡥᠠ, Net Stars), a Manchu shamanic constellation. It represents a hunting net to capture sables.",Manchu,2026/05/14
Khepdenreret,HR 6324,83207,6324,ϵ Her,Her,"Khepdenreret, the Buttocks of the Hippopotamus (goddess) Reret, is a star name from ancient Egypt documented in the Ramesside Star Clocks from around 1200 BCE",Egyptian,2026/05/14
Aurwandilsta,HR 5971,78493,5971,ι CrB,CrB,"Aurvandils tá, Aurvandill's Toe, is a Norse constellation from Iceland, documented in Snorri's Edda from the 13th century CE.",Norse,2026/05/14
Baltesha,HR 5849,76952,5849,γ CrB A,CrB,"(MUL.)BAL.TEŠ2.A (𒀯𒁄𒌨𒀀), the Asterism of Dignity, is an ancient Sumerian constellation in CrB.",Sumerian,2026/05/14
Matrichakra,HR 5889,77512,5889,δ CrB,CrB,"Mātrīcakra, The Circle (मातृचक्र), is an Indian name for CrB; the Sanskrit term occurs on historical globes and astrolabes.",Sanskrit,2026/05/14
Guansuo,HR 5778,76127,5778,θ CrB A,CrB,"Guàn Suǒ (Coiled Thong, 贯索), a Chinese constellation of 9 stars in CrB. It resembles a string threaded through a series of copper coins, attested since ancient times.",Chinese,2026/05/14
Stephanos,HR 5855,77048,5855,π CrB,CrB,"Στέφανος, The Wreath, is the ancient Greek name of CrB. It can represent either the laurel wreath of an emperor or victorious athlete, or a bridal wreath.",Ancient Greek,2026/05/14
Speedy Mic,HD 197890,102626,,,Mic,"The variable star V* BO Mic is a red (K-type) flare star with outbursts of high energy (X-ray, UV) and an extraordinarily rapid rotation: its radius equaling that of our Sun, it completes a rotation in 0.38 days (instead of 25).",English,2026/05/09
Red Rectangle,HD 44179,30089,,,Mon,"The binary system V777 Mon is embedded in a bipolar nebula that made the star look like a rectangle in the first infrared images in 1973. The object was considered peculiar and nicknamed ""red rectangle"" in a 1975 paper.",English,2026/05/09
Paloma,2MASS J05243042+4244506,,,,Aur,"Paloma, The Dove/ Pigeon, was introduced by a research team in 2007 for this peculiar cataclysmic variable due to its proximity to an SNR that looks like a bird (name has been in SIMBAD already).",Spanish,2026/04/19
Sapaki,WR 67-1,,,,Cir,"The word translates into ""solitary"" which refers to the research find that this Wolf-Rayet star was born in isolation (name has been in SIMBAD already).",Quechua,2026/04/18
Bajamar Star,2MASS J20555125+4352246,,,,Cyg,a star close to the North America Nebula named after an original term for the Bahamas islands (name has been in SIMBAD already).,Spanish,2026/04/18
Calvera,PSR J1412+7922,,,,UMi,"This neutron star is named after the villain in the 1960 film The Magnificent Seven, as it was found in 2001 as eighth object of the category of isolated neutron stars that had formerly been called The Magnificant Seven (name has been in SIMBAD already).",fictional,2026/04/18
Holoea,IRAS 05327+3404,,,,Aur,"The name is Hawaiian for ""flowing gas"", given to this Young Stellar Object because it was discovered with the James Clerk Maxwell Telescope at Mauna Kea, Hawaii (name has been in SIMBAD already).",Hawaiian,2026/04/18
Stella Ludoviciana,HD 116798,,,,UMa,"The modern Latin name was given to the star in 1722 due to a misinterpreted observation, mistaking it for a planet (name has been in SIMBAD already).",Latin,2026/04/17
Pulcherrima,HR 5505,72105,5505,ε Boo B,Boo,"The Latin name translates to ""most beautiful"" or ""loveliest,"" referring to its striking, contrasting colors; it was introduced by F. Struve in 1837.",Latin,2026/04/15
Maenalus,HR 5511,72220,5511,109 Virginis,Vir,"Mons Maenalus is an early modern European constellation or asterism introduced by Hevelius (1690), setting a celestial memorial for a mountain in the central Peloponnese, Greece.",Latin,2026/04/15
Alrumh,HR 5490,71995,5490,34 Bootis,Boo,"Al-Rumḥ (الرُّمْح), the Lance/ Spear, is an Arabic asterism from pre-Islamic times that covers the area between Epsilon, Upsilon, Eta and Sigma Bootis. The named star is close to the dominant Epsilon Bootis, which also forms part of the Chinese constellation of The Lance (Genghe).",Arabic,2026/04/15
Genghe,HR 5447,71284,5447,Sigma Bootis,Boo,"Gěnghé (Celestial Lance, 梗河) is a Chinese constellation of 3 stars. WGSN named the second star in the line.",Chinese,2026/04/15
Kalasungsang,HR 5429,71053,5429,Rho Bootis,Boo,"On Bali (Indonesia) ""Kala"" means ""demon"" and ""sungsang"" means ""upside down"". Originally, the term is from Sanskrit काल, dark/ death or time. The daemon reminds us not to waste time.","Sanskrit, Javanese",2026/04/15
Qigong,HR 5681,74666,5681,Delta Bootis A,Boo,"Qī Gōng (Seven Excellencies, 七公) is a Chinese asterism composed of seven stars; WGSN named the determinative star after the constellation.",Chinese,2026/04/15
Tepiamenit,HR 5185,67275,5185,Tau Bootis,Boo,"Menit, The Mooring Post, is an Egyptian constellation, preserved in Ramesside Star Clocks of the 2nd millennium BCE. Tepiamenit is the ""Predecessor of the Pole"" inside Menit.",Egyptian,2026/04/15
Krios,HD 240429,,,,Cas,Krios is one of the twelve Titans from Greek mythology. The name was given to a component of a co-moving pair in a 2018 spectroscopy paper and appears culturally well reflected (name has been in SIMBAD already).,Greek,2026/03/22
Kronos,HD 240430,,,,Cas,Kronos is a Greek god. The name was given to a component of a co-moving pair in a 2018 spectroscopy paper and appears culturally well reflected (name has been in SIMBAD already).,Greek,2026/03/22
Pherkad Minor,HR 5714,74793,5714,11 UMi,UMi,One of Piazzi's star names following the schema of naming a faint visual neighbour in reference to the visually more striking star in a constellation.,"Arabic, Latin",2026/03/22
Pistol Star,V*4647 Sgr,,,,Sgr,A blue supergiant surrounded by a nebula which is the reason for the name (name has been in SIMBAD already).,English,2026/03/22
Ping,HR 1654,23685,1654,eps Lep,Lep,"Píng (屏), the Screen in front of a toilet, is a Chinese constellation",Chinese,2026/03/22
Bade,HR 1702,24305,1702,μ Lep,Lep,"Bade, the Funeral Tower, is an Oceanic constellation name from Bali (Indonesia).",Balinese,2026/03/22
Darlugal,HR 1998,27288,1998,zet Lep,Lep,"Derived from Sumerian DAR.LUGAL, The Rooster, an animal first domesticated in China and India, and archaeologically attested in West Asia only since the 2nd millennium BCE for cockfights.",Sumerian,2026/03/22
Udang,HR 8075,104139,8075,tet Cap,Cap,"Udang, ""the Shrimp"", is an Oceanic name from Bali (Indonesia). It is anchored in the cultural calendar called ""Palelintangan"" which is attested for ~1300 years. Particularly whiteleg and tiger shrimp are leading fishery commodity in Bali with significant economic potential.",Balinese,2026/02/22
Gaja,HR 1497,21881,1497,tau Tau,Tau,"The term ""gaja"" (गज) in Sanskrit means ""elephant"". Yet, the constellation ""Gaja(h)"" is not known in India but only in Indonesia. There it is attested in the cultural calendar called Palelintangan where it is found in the intersection between Sunday and the second day of a five-day cycle.",Sanskrit,2026/02/22
Naga,HR 5020,64962,5020,gam Hya,Hya,"Sanskrit नाग, nāgá, means “large snake” or ""serpent"". Languages like Iban, Indonesian, Italian, Javanese, Malay, Marano, Portuguese, Tagalog and Yakan borrow the term; Japanese ""naga"" means ""long""; German ""Nagel"" (nail) and English ""naked"" are derived from homophonous Sanskrit ""nāga"" for gold/ iron/ metal.",Sanskrit,2026/02/22
Yuyu,HR 3475,43103,3475,iot Cnc,Cnc,"Yuyu is a word from Javanese, inherited from Old Javanese ""hayuyu"", spoken on the island of Java, Indonesia. It means ""freshwater crab"". The animal can be found in rice fields in Indonesia and the constellation is attested for at least 1300 years.",Javanese,2026/02/22
Lumbung,HR 4823,61966,4823,39 Cru,Cru,"The term ""Lumbung"" is inherited from Malay, Proto-Malayo-Polynesian, designating a quickly set up rice barn or granary. The constellation of Lumbung is attested for ~1300 years in the cultural calendar and associated with Wednesday and the third day of an Oceanic market cycle.",Malay,2026/02/22
Tonglingxing,HR 2527,33694,2527,,Cam,"Tóng Líng (Phoenix Tree Mound, 桐陵) is a traditional Chinese star name at the right wall of the Purple Palace constellation, rarely used, but ~2000 years old. WGSN uses ""Tonglingxing"" to avoid confusion with an asteroid name.",Chinese,2026/02/22
Shangwei,HR 2209,29997,2209,,Cam,"Shàng Wèi (The Great Imperial Guard, 上衛) is the name of the fifth star on the right wall and the sixth star on the left wall of the Zǐ Gōng (Purple Palace, 紫宮) / Zǐwēi Yuán (Purple Forbidden Enclosure, 紫微垣), counting northward from the southern gate. Its corresponding star has changed many times throughout history.",Chinese,2025/12/25
Shangcheng,HR 932,14862,932,,Cas,"Shàng Chéng (The Great Imperial Minister, 上丞) and Shào Chéng (The Second Imperial Minister, 少丞) are the two stars located to the left and right of the northern gate of the Zǐ Gōng (Purple Palace) / Zǐwēi Yuán (Purple Enclosure).",Chinese,2025/12/25
Shaowei,,17959,,gam Cam,Cam,"Shào Wèi (The Second Imperial Guard, 少衛) is the sixth star on the right wall of the Zǐ Gōng (Purple Palace, 紫宮) or Zǐwēi Yuán (Purple Forbidden Enclosure), counting northward from the southern gate. Although its identification has varied across historical sources, all recorded versions consistently place it within the modern constellation Camelopardalis.",Chinese,2025/12/25
Kamelos,HR 2363,31940,2363,,Cam,"""Kamelos"" is Greek for camel, a pun with the name of the constellation ""Camelopardalis"" whose Latin term is a Greek loanword, literally meaning ""checkered camel"" = giraffe. On this base, Jacob Bartsch proposed 1624 ""Camelus Rebeccae"" as an alternative name for the constellation Camelopardalis, a reference to the story of Abraham's daughter-in-law, Rebecca.",Greek,2025/12/25
Custos,HR 1155,17884,1155,BE Cam,Cam,"Custos Messium, the Harvest Keeper, was a constellation invented in Early Modern Time by the French astronomer Joseph Jérôme de Lalande (1732–1807) who might have punned with the name of his compatriot Charles Messier. Some European astronomers copied and translated it, though. The constellation became obsolete in the depolitisation of the IAU-sky and WGSN only resembles the Keeper, Custos.",Latin,2025/12/25
Huagai,HR 707,11569,707,iot Cas,Cas,"Huá Gài (Canopy of the Emperor, 華蓋) is a Chinese asterism consisting of sixteen stars, divided into two parts: seven stars forming the Huá Gài (“Canopy”) proper and nine forming the Gàng (“Shaft”). The asterism originated within the Gan school during the Han dynasty, around the first century BCE.",Chinese,2025/12/25
Gang,HR 580,9598,580,50 Cas,Cas,"Gàng (“Shaft”) forms part of the ancient Chinese asterism of Huá Gài (Canopy of the Emperor, 華蓋). Allen (1899) mentions the term as a star name in Cam but WGSN places it in a correcter position.",Chinese,2025/12/25
Rangifer,HR 592,9763,592,49 Cas,Cas,"Rangifer, the Reindeer, is an extinct constellation first introduced by Pierre-Charles Le Monnier in 1743 in the book La Théorie des Comètes. He aimed to resemble an Indigenous constellation of the Sami people in Northern Scandinavia, where he had travelled to on a geodetic expedition.",Latin,2025/12/25
