hr,name,flamsteed,bayer,bayer_sup,cst,hd,sao,var_id,ra_deg_j2000,dec_deg_j2000,vmag,vmag_code,b_v,sp_type,pm_ra_arcsec,pm_de_arcsec,parallax_arcsec,is_ghost
1,,,,,,3,36042,,1.29125,45.229167,6.7,,0.07,A1Vn,-0.012,-0.018,,false
2,,,,,,6,128569,,1.265833,-0.503056,6.29,,1.1,gG9,0.045,-0.06,,false
3, 33    Psc,33,,,Psc,28,128572,Var?,1.33375,-5.7075,4.61,,1.04,K0IIIbCN-0.5,-0.009,0.089,0.014,false
4, 86    Peg,86,,,Peg,87,91701,,1.425,13.396111,5.51,,0.9,G5III,0.045,-0.012,,false
5,,,,,,123,21085,V640 Cas,1.566667,58.436667,5.96,,0.67,G5V,0.263,0.03,0.047,false
6,,,,,,142,214963,,1.579167,-49.075,5.7,,0.52,G1IV,0.565,-0.038,0.05,false
7, 10    Cas,10,,,Cas,144,10978,,1.610417,64.196111,5.59,,-0.03,B9III,0.008,0.0,,false
8,,,,,,166,73743,33,1.653333,29.021389,6.13,,0.75,K0V,0.38,-0.182,0.067,false
9,,,,,,203,166053,,1.70875,-23.1075,6.18,,0.38,A7V,0.1,-0.045,,false
10,,,,,,256,147090,,1.825833,-17.386389,6.19,,0.14,A6Vn,-0.018,0.036,,false
11,,,,,,315,128595,Var?,1.93375,-2.548889,6.43,,-0.14,B8IIIpSi,0.027,-0.002,,false
12,,,,,,319,166066,46,1.945,-22.508889,5.94,,0.14,A2Vp:,0.052,-0.044,,false
13,,,,,,344,192367,,2.014583,-33.529444,5.68,,1.12,K1III,-0.037,0.0,,false
14,,,,,,352,128602,AP Psc,2.050417,-2.447778,6.07,,1.38,K2III+F,0.009,-0.003,,false
15, 21Alp And,21,Alp,,And,358,73765,Alp And,2.097083,29.090556,2.06,,-0.11,B8IVpMnHg,0.136,-0.163,0.032,false
16,,,,,,360,128604,,2.0725,-8.823889,5.99,,1.04,gG8,-0.052,-0.033,,false
17,,,,,,400,53677,,2.170833,36.626667,6.19,,0.48,F8IV,-0.1,-0.145,0.044,false
18,,,,,,402,147103,51,2.139167,-17.5775,6.06,,1.67,M0III,0.0,-0.025,,false
19,,,,,,417,73769,,2.2175,25.462778,6.23,,0.97,K0III,0.114,0.031,,false
20,,,,,,431,4048,,2.334167,79.714722,6.01,,0.19,A7IV,0.102,-0.027,0.002,false
21, 11Bet Cas,11,Bet,,Cas,432,21133,Bet Cas,2.294583,59.149722,2.27,,0.34,F2III-IV,0.525,-0.181,0.072,false
22, 87    Peg,87,,,Peg,448,91734,,2.26,18.211944,5.53,,1.04,G9III,0.137,-0.024,,false
23,,,,,,469,231943,,2.26,-54.001944,6.33,,0.74,G4IV,0.051,0.016,0.009,false
24,   Kap1Scl,,Kap,1,Scl,493,166083,,2.3375,-27.987778,5.42,,0.42,F2V,0.072,-0.004,0.023,false
25,   Eps Phe,,Eps,,Phe,496,214983,,2.352917,-45.7475,3.88,,1.03,K0III,0.124,-0.181,0.066,false
26, 34    Psc,34,,,Psc,560,91750,,2.509583,11.145556,5.51,,-0.07,B9Vn,0.041,-0.003,0.017,false
27, 22    And,22,,,And,571,36123,,2.580417,46.072222,5.03,,0.4,F2II,0.008,0.0,-0.002,false
28,,,,,,584,21162,,2.62375,57.165556,6.74,,-0.08,B7IV,0.023,0.006,,false
