constellation,stroke_seq,point_order,seq
UMi,1,1,1
UMi,1,2,2
UMi,1,3,3
UMi,1,4,4
UMi,2,1,4
UMi,2,2,5
UMi,2,3,7
UMi,2,4,6
UMi,2,5,4
UMa,1,1,1
UMa,1,2,2
UMa,1,3,3
UMa,1,4,5
UMa,1,5,4
UMa,2,1,5
UMa,2,2,6
UMa,3,1,4
UMa,3,2,7
UMa,3,3,8
UMa,3,4,9
UMa,3,5,10
UMa,4,1,10
UMa,4,2,11
UMa,4,3,12
UMa,4,4,13
UMa,5,1,9
UMa,5,2,14
UMa,5,3,15
UMa,6,1,8
UMa,6,2,16
UMa,7,1,16
UMa,7,2,17
UMa,7,3,19
UMa,7,4,18
UMa,7,5,16
UMa,8,1,19
UMa,8,2,22
UMa,8,3,20
UMa,8,4,21
UMa,9,1,17
UMa,9,2,23
UMa,9,3,24
UMa,10,1,18
UMa,10,2,25
UMa,10,3,26
UMa,10,4,27
Dra,1,1,1
Dra,1,2,2
Dra,1,3,4
Dra,1,4,3
Dra,1,5,5
Dra,1,6,2
Dra,2,1,5
Dra,2,2,6
Dra,2,3,8
Dra,2,4,7
Dra,2,5,9
Dra,3,1,9
Dra,3,2,11
Dra,3,3,10
Dra,3,4,13
Dra,3,5,12
Dra,3,6,11
Dra,4,1,13
Dra,4,2,14
Dra,4,3,15
Dra,4,4,16
Dra,4,5,14
Dra,5,1,16
Dra,5,2,17
Dra,5,3,18
Dra,5,4,19
Dra,5,5,17
Dra,6,1,19
Dra,6,2,20
Dra,6,3,21
Dra,7,1,21
Dra,7,2,24
Dra,7,3,23
Dra,7,4,22
Dra,7,5,25
Dra,7,6,26
Dra,7,7,27
Dra,7,8,28
Dra,7,9,29
Dra,7,10,30
Dra,7,11,31
Cep,1,1,9
Cep,1,2,10
Cep,1,3,11
Cep,2,1,4
Cep,2,2,9
Cep,3,1,4
Cep,3,2,5
Cep,3,3,6
Cep,4,1,1
Cep,4,2,3
Cep,4,3,4
Cep,4,4,7
Cep,4,5,8
Cep,5,1,7
Cep,5,2,2
Boo,1,1,1
Boo,1,2,2
Boo,1,3,3
Boo,1,4,4
Boo,1,5,5
Boo,2,1,5
Boo,2,2,6
Boo,2,3,7
Boo,3,1,7
Boo,3,2,8
Boo,3,3,9
Boo,4,1,8
Boo,4,2,15
Boo,5,1,7
Boo,5,2,10
Boo,5,3,11
Boo,6,1,7
Boo,6,2,12
Boo,6,3,13
Boo,6,4,14
Boo,7,1,6
Boo,7,2,17
Boo,7,3,18
Boo,7,4,16
Boo,8,1,16
Boo,8,2,19
Boo,9,1,18
Boo,9,2,20
Boo,9,3,21
Boo,9,4,22
CrB,1,1,2
CrB,1,2,3
CrB,1,3,1
CrB,1,4,5
CrB,1,5,6
CrB,1,6,7
CrB,1,7,8
CrB,2,1,3
CrB,2,2,4
Her,1,1,2
Her,1,2,1
Her,1,3,5
Her,2,1,2
Her,2,2,3
Her,2,3,4
Her,3,1,5
Her,3,2,6
Her,3,3,7
Her,3,4,8
Her,4,1,9
Her,4,2,8
Her,4,3,10
Her,5,1,2
Her,5,2,11
Her,5,3,12
Her,5,4,5
Her,6,1,12
Her,6,2,13
Her,6,3,14
Her,6,4,15
Her,6,5,16
Her,6,6,17
Her,6,7,18
Her,6,8,19
Her,7,1,19
Her,7,2,20
Her,7,3,21
Her,7,4,22
Her,8,1,11
Her,8,2,23
Her,8,3,24
