constellation,stroke_seq,stroke,comment
UMi,1,tail,"Tail tip (Polaris) back to the tail's root, joining the body."
UMi,2,body,"The figura quadrilatera — preceding side 4-5, following side 6-7."
UMa,1,head,"The face in profile: muzzle-tip, the eye pair, then the brow pair."
UMa,2,ear-spur,"The preceding ear's tip, hung from the preceding brow star."
UMa,3,neck-and-chest,"Neck pair into the chest pair, taken up from the following brow star."
UMa,4,left-foreleg,Chest to left knee to the forefoot pair.
UMa,5,right-foreleg,Above and below the right knee; our line hangs it from the chest.
UMa,6,spine,"Our line: neck to Dubhe, joining head to hindquarters."
UMa,7,body,"The figura quadrilatera — the Dipper's bowl (Dubhe, Merak, Phecda, Megrez)."
UMa,8,left-hindleg,Thigh to hock to hind-foot pair.
UMa,9,right-hindleg,"The right hind-foot pair, hung from the flank; the far legs pass behind."
UMa,10,tail,'The three placed in the tail' — the Dipper's handle.
Dra,1,head,"The tongue leads to the mouth; jaw, crown and eye close the head's lozenge."
Dra,2,neck,"Crown into the straight-line trio at the first bend (N, mid, S), then the eastward follower."
Dra,3,first-coil,"The quadrilateral at the following bend; entered from the neck, exited south."
Dra,4,second-coil-triangles,Two triangles back-to-back; the following (eastern) then the preceding (western).
Dra,5,western-triangle,"The preceding triangle, entered at its near corner and drawn round."
Dra,6,small-pair,"The two small stars at the western part of the triangle, nearer one first."
Dra,7,tail,"Straight-line trio, westward pair, the tail's bend, the far-standing pair, then tip. One unwinding stroke."
Cep,1,tiara,"The three in the tiara, south to north."
Cep,2,shoulders-and-crown,Our line: right shoulder up into the tiara; the king wears his hat.
Cep,3,right-arm,"Shoulder, elbow-above, elbow-below — three touching stars."
Cep,4,torso,Right foot to belt to right shoulder; chest hangs between; left arm from the chest.
Cep,5,left-side,"Our line: chest down to the left foot, closing the standing frame."
Boo,1,left-arm,"The left-hand trio, then elbow and shoulder."
Boo,2,head-and-shoulders,"Left shoulder, head, right shoulder."
Boo,3,crook,From the right shoulder up the collorobus to its tip.
Boo,4,crook-handle,The staff itself: from the crook down to the handle-end at the hand. It lies across the palm — he is holding it.
Boo,5,club,The pair in the club below the shoulder.
Boo,6,right-hand,"The palm pair, then the hand-tip; our line hangs the hand from the right shoulder."
Boo,7,torso-and-belt,The belt pair with the leg star beside it; the head-to-belt line is ours.
Boo,8,right-leg,Belt-side leg star down to the right heel.
Boo,9,left-leg,"The left-shin trio, north to south; our line hangs it from the belt pair."
CrB,1,diadem,"The whole arc from its northern end: down through the leader and the jewel, then follower after follower to the last."
CrB,2,northern-gem,"Star 4 rides north of the band, following 3."
Her,1,head-and-shoulders,The head set between the two shoulders.
Her,2,right-arm,"Shoulder, arm, elbow."
Her,3,left-arm,"Shoulder, arm, elbow, into the hand."
Her,4,left-palm,"The three in the palm, chained on from the arm's end."
Her,5,torso,The two side stars; our lines hang them from the shoulders.
Her,6,left-leg,"Hip joint, head of thigh, the thigh trio, knee, calf."
Her,7,left-foot,The three at the tip of the left foot.
Her,8,right-leg,"Hip joint, thigh, knee, shin, foot-tip (the shared crook star)."
Her,9,right-knee-pair,"The two stars in the right knee, beside it."
Lyr,1,shell,Vega with its two adjoining stars.
Lyr,2,horn-spring,The star midway between the springing of the horns.
Lyr,3,east-shell,The close-set pair at the eastern part of the shell.
Lyr,4,yoke,Preceding pair and following pair — the parallelogram.
Lyr,5,neck,Our line: horn-spring down to the yoke.
Cyg,1,neck-and-body,"Beak, head, mid-neck, breast, and Deneb in the tail."
Cyg,2,right-wing,From the breast through the elbow to the feather-edge trio.
Cyg,3,left-wing,"Elbow, mid-wing, feather-tip."
Cyg,4,left-leg,"Knee then foot, tucked beneath; our line hangs it from the breast."
Cyg,5,right-leg,"The cloud-like knee, then the foot pair."
Cas,1,body,"Head to breast to girdle, then thighs, knees, shin, foot-tip."
Cas,2,left-arm,"Arm from the breast, elbow star beneath."
Cas,3,right-arm,The right arm from the breast.
Cas,4,throne,"The chair in one line: seat-foot, mid-seat (the throne itself), seat-edge."
Cas,5,seat-link,Our line seats the Queen: her thighs on the middle of the throne.
Per,1,sword-arm,"The nebulous hand (the Double Cluster), elbow, right shoulder."
Per,2,head-and-shoulders,The head between the shoulders.
Per,3,occiput,The star at the back of the head.
Per,4,torso,"Right shoulder down to Mirfak, then the trio after the side."
Per,5,gorgon-arm,"Left shoulder to elbow, into the Gorgon's head."
Per,6,gorgon-head,"Medusa's face drawn round: Algol, its follower, and the two preceders."
Per,7,right-leg,"From the side-trio: above-knee, knee, calf, ankle."
Per,8,right-knee-hollow,The pair above the hollow of the knee.
Per,9,left-leg,"Thigh, knee, shin, heel, foot-tip; our line hangs the leg from Mirfak."
Aur,1,head,"The head star and the one above it, set between the shoulders."
Aur,2,frame,"Our hoop: shoulders to ankles, the pentagon-like frame of the figure."
Aur,3,right-arm,"Shoulder, elbow, palm — the rein hand."
Aur,4,kids,"Left elbow, then the two Kids in the palm."
Aur,5,foot-line,"From the shared horn-star northward: foot-tip, then the joint."
Aur,6,left-foot-spur,The small star above the left foot.
Oph,1,head-and-shoulders,The head set between the inner shoulder stars; each shoulder a pair.
Oph,2,right-shoulder-pair,Preceding and following of the right shoulder.
Oph,3,left-shoulder-pair,Preceding and following of the left shoulder.
Oph,4,left-arm,"From the preceding shoulder star: elbow, then the two-star fist gripping the serpent's neck."
Oph,5,right-arm,"Elbow, then the two-star fist on the serpent's tail."
Oph,6,right-leg,Knee and shin; our line hangs the leg from the right shoulder.
Oph,7,right-foot,"The four in the foot, then the heel-toucher."
Oph,8,left-leg,"From the following shoulder star: knee, the straight-line shin trio, heel, sole-toucher."
Ser,1,head-quadrilateral,"The head's four corners drawn round: jaw-tip, nostrils, temple, neck-root."
Ser,2,mouth,"The middle of the quadrilateral, in the open mouth."
Ser,3,north-spur,The outsider north of the head.
Ser,4,neck,"The first bend, then the following trio north to south."
Ser,5,through-the-grip,"Past Ophiuchus' left hand, behind his right thigh."
Ser,6,tail,"The pair beyond the thigh, the bend past his right hand, tip."
Sge,1,shaft,"Iron head, the three in the reed, the notch — one line, whole."
Aql,1,body,"Head, neck, and Altair at the back of the head."
Aql,2,north-companion,The near star north of Altair.
Aql,3,left-wing,"The left shoulder pair, opened from Altair."
Aql,4,right-wing,"The right shoulder pair, opened from Altair."
Aql,5,tail-trail,"The remote star below the tail, at the Milky Way — one long feather-line of ours."
Del,1,rhombus,"The rhomboid quadrilateral — preceding side, following side."
Del,2,tail,"The tail trio, fanned from its preceding star."
Del,3,body,"The northern preceder of the between-stars, tucked up to the rhombus."
Del,4,leap,Our arc: tail up through the southern and following between-stars into the rhombus.
Equ,1,head,The pair in the head.
Equ,2,muzzle,"Up to the mouth pair, the muzzle's far tip last; joined to the head by our line."
Peg,1,great-square,"The Square drawn round: navel (shared with Andromeda), loins, wing-shoulder, leg-root shoulder."
Peg,2,chest,"The close chest pair, hung from the shoulder — nearer follower first."
Peg,3,neck-and-head,From the chest through the neck pair and the head pair to the single star in the muzzle.
Peg,4,mane,"The mane pair riding above the neck, northern star first."
Peg,5,under-wing,"The body pair beneath the wing, southern star first."
Peg,6,right-foreleg,"From the leg-root shoulder: the knee pair, then the ankle."
Peg,7,left-foreleg,"Left knee and ankle, hung from the wing-shoulder; the raised leg crosses before the neck."
And,1,head-and-shoulders,Back of the head between the shoulders.
And,2,right-arm,"The arm trio — southern, middle, northern — reaching from the shoulder."
And,3,right-hand,"The hand-tip trio in order, out to the far, preceding outer star."
And,4,left-arm,"Arm, then elbow."
And,5,girdle,"The three above the girdle, south to north."
And,6,torso,Our lines: shoulders joined to the girdle's middle — the gown gathered at the waist.
And,7,left-leg,"From the girdle's southern star: knee-hollow pair, then the star above the left foot."
