baily,constellation,member_type,seq,latin,english
1,UMi,figure,1,Quae est in extremitate caudae,The one at the tip of the tail
2,UMi,figure,2,Quae post ipsam in cauda est,"The one after it, in the tail"
3,UMi,figure,3,Quae post istam prope radicem caudae,"The one after that, near the root of the tail"
4,UMi,figure,4,Australis Stella praecedentis lateris figurae quadrilaterae,The southern star of the preceding side of the quadrilateral figure
5,UMi,figure,5,Borealis ejusdem lateris,The northern one of the same side
6,UMi,figure,6,Australis earum quae in sequenti latere sunt,The southern of those on the following side
7,UMi,figure,7,Borealis ejusdem lateris,The northern one of the same side
8,UMi,unformed,1,Australissima extra figuram in recta sequentis lateris,"Southernmost, outside the figure, in line with the following side"
9,UMa,figure,1,Quae est in extremitate rictus,The one at the tip of the muzzle
10,UMa,figure,2,Praecedens earum quae in duobus oculis sunt,The preceding of the two in the eyes
11,UMa,figure,3,Sequens earum,The following of them
12,UMa,figure,4,Praecedens earum quae in fronte sunt,The preceding of the two in the forehead
13,UMa,figure,5,Sequens earum,The following of them
14,UMa,figure,6,Quae in extremitate praecedentis auris est,The one at the tip of the preceding ear
15,UMa,figure,7,Praecedens earum quae in collo sunt,The preceding of the two in the neck
16,UMa,figure,8,Sequens earum,The following of them
17,UMa,figure,9,Borealior de duabus quae in pectore sunt,The more northern of the two in the chest
18,UMa,figure,10,Australior ipsarum,The more southern of them
19,UMa,figure,11,Quae in genu sinistro est,The one in the left knee
20,UMa,figure,12,Borealis earum quae in anterioris extremitate pedis sinistri sunt,The northern of those at the tip of the left forefoot
21,UMa,figure,13,Australior ipsarum,The more southern of them
22,UMa,figure,14,Quae supra genu dextrum est,The one above the right knee
23,UMa,figure,15,Quae infra genu dextrum est,The one below the right knee
24,UMa,figure,16,"Earum quae sunt in quadrilatera figura, illa in dorse est","Of those in the quadrilateral figure, the one on the back"
25,UMa,figure,17,Quae de istis in ursae latere est,"Of these, the one on the Bear's flank"
26,UMa,figure,18,Quae in radice caudae,The one at the root of the tail
27,UMa,figure,19,Reliqua quae est in posteriori sinistra coxa,"The remaining one, in the left hind thigh"
28,UMa,figure,20,Praecedens earum quae in extremitate posteriorum sinistri pedis sunt,The preceding of those at the tip of the left hind foot
29,UMa,figure,21,Quae istam sequitur,The one following it
30,UMa,figure,22,Quae est in poplite sinistro,The one in the left hock
31,UMa,figure,23,Borealium earum quae in extremitate posterioris dextri pedis sunt,The northern of those at the tip of the right hind foot
32,UMa,figure,24,Australior earum,The more southern of them
33,UMa,figure,25,"De tribus in cauda locatarum, prima post caudae radicem",Of the three placed in the tail: the first after the tail's root
34,UMa,figure,26,Media ipsarum,The middle of them
35,UMa,figure,27,"Tertia, et in ipsa extremitate caudae","The third, at the very tip of the tail"
36,UMa,unformed,1,Quae sub cauda procul ad austrum est,The one far south below the tail
37,UMa,unformed,2,Quae istam praecedit obscurior,The dimmer one preceding it
38,UMa,unformed,3,Australior quae inter anteriores ursae pedes et caput Leonis est,The more southern one between the Bear's forefeet and Leo's head
39,UMa,unformed,4,Borealior hac,The one more northern than this
40,UMa,unformed,5,Sequens reliquarum trium obscurarum,The following of the remaining three dim ones
41,UMa,unformed,6,Praecedens istam,The one preceding it
42,UMa,unformed,7,Hanc etiam praecedens,Preceding this one as well
43,UMa,unformed,8,Quae inter anteriores pedes et Geminos est,The one between the forefeet and Gemini
44,Dra,figure,1,Quae in lingua draconis est,The one on the Dragon's tongue
45,Dra,figure,2,Quae in ore est,The one in the mouth
46,Dra,figure,3,Quae supra oculum,The one above the eye
47,Dra,figure,4,Quae in maxilla,The one in the jaw
48,Dra,figure,5,Quae supra caput,The one above the head
49,Dra,figure,6,Borealis de tribus quae sunt in recta linea et in prima flexione colli,"The northern of the three in a straight line, at the first bend of the neck"
50,Dra,figure,7,Australis ipsarum,The southern of them
51,Dra,figure,8,Media ipsarum,The middle of them
52,Dra,figure,9,Sequens istas versus ortum,"The one following these, toward the east"
53,Dra,figure,10,"Quae in sequenti fluxu est, australior earum quae sunt in praecedente latere quadrilaterae","The one at the following bend, more southern than those on the preceding side of the quadrilateral"
54,Dra,figure,11,Borealior earum quae sunt in antecedente latere,The more northern of those on the preceding side
55,Dra,figure,12,Borealis earum quae sunt in latere sequente,The northern of those on the following side
56,Dra,figure,13,Australis lateris sequentis,The southern one of the following side
57,Dra,figure,14,"Australis sequenti fluxu, trianguli","The southern one at the following bend, of the triangle"
58,Dra,figure,15,Praecedens de reliquis duabus trianguli,The preceding of the remaining two of the triangle
59,Dra,figure,16,Sequens de ipsis,The following of these
60,Dra,figure,17,Sequens de tribus quae in antecedente deinceps triangulo sunt,"The following of the three that come next, in the preceding triangle"
61,Dra,figure,18,Australis de reliquis duabus trianguli,The southern of the remaining two of that triangle
62,Dra,figure,19,Borealior reliquis duabus,The more northern of the remaining two
63,Dra,figure,20,Quae de duabus parvis ad occidentalem partem trianguli sequitur,The following of the two small ones toward the western part of the triangle
64,Dra,figure,21,Praecedens de ipsis,The preceding of these
65,Dra,figure,22,Australior de tribus quae deinceps per rectam lineam sunt,The more southern of the three that come next along a straight line
66,Dra,figure,23,Media ipsarum,The middle of them
67,Dra,figure,24,Borealior ipsarum,The more northern of them
68,Dra,figure,25,Borealior duarum quae deinceps ad occasum sunt,"The more northern of the two that come next, toward the west"
69,Dra,figure,26,Australior ipsarum,The more southern of them
70,Dra,figure,27,Quae de istis in flexu caudae ad occasum est,"Of these, the one at the westward bend of the tail"
71,Dra,figure,28,Praecedens de duabus satis ab ista distantibus,The preceding of the two standing well apart from it
72,Dra,figure,29,Quae ipsas sequitur,The one following them
73,Dra,figure,30,Quae istis prope caudam adhaeret,"The one clinging close to these, near the tail"
74,Dra,figure,31,Reliqua quae in extremitate caudae est,"The remaining one, at the tip of the tail"
75,Cep,figure,1,Quae in pede dextro est,The one in the right foot
76,Cep,figure,2,Quae in pede sinistro,The one in the left foot
77,Cep,figure,3,Quae ad cingulum est in dextro latere,"The one at the belt, on the right side"
78,Cep,figure,4,Quae super dextrum humerum est tangens ipsum,"The one above the right shoulder, touching it"
